Coating List,Coating Group name
ARMC+,HMC
AZURE,AZURE
AZUREUV,AZURE
AZUREUVINT,AZURE
CHC,HC
CHMC+,HMC
CHMCINT+,HMC
COAT005,HMC
COAT033,HMC
CRIZALESPR,Crizal
CRIZALRCK,Crizal Rock
CSATIN+,Satin+
CSATIN+BLUV,Satin+
CSATINAKTIV,Satin+
DHMC+,HMC
DSATINAKTIV,Satin+
EHMC+,HMC
EHMC+AF,HMC
EHMCINT+,HMC
EHMCINT++,HMC
ESOLTR,Crizal
ESOLTRINT,Crizal
ESOLTRPR,Crizal
HCAF,Antifog
HCBGT,HC
HCTINT,HC
HMC,HMC
HMC+,HMC
HMC++,HMC
HMC++BL,HMC
HMCAFAR,HMC
HMCBGT,HMC
HMCCR,HMC
HMCINT,HMC
HMCINT+,HMC
HMCINTBGT,HMC
HMCPL,HMC
JMAR,HMC
MC,HMC
MIRBLK,Mirror
MIRBLKHC,Mirror
MIRBLKHCBGT,Mirror
MIRBLKHMC,Mirror
MIRBLKHMCS,Mirror
MIRBLKSATIN+,Mirror
MIRBLKSATIN+BGT,Mirror
MIRBLU,Mirror
MIRBLUHC,Mirror
MIRBLUHCBGT,Mirror
MIRBLUHMC,Mirror
MIRBLUHMCBGT,Mirror
MIRBLUHMCS,Mirror
MIRBLURSATIN+UV,Mirror
MIRBLUSATIN+,Mirror
MIRBLUSATIN+AZURE,Mirror
MIRBLUSATIN+BGT,Mirror
MIRBLUSATIN+UV,Mirror
MIRBLUSATIN3,Mirror
MIRBLUSATINAZURE,Mirror
MIRBLUSATINKLR,Mirror
MIRBNZ,Mirror
MIRBNZHC,Mirror
MIRBNZHCBGT,Mirror
MIRBNZHMC,Mirror
MIRBNZHMCS,Mirror
MIRBNZSATIN+,Mirror
MIRBNZSATIN3,Mirror
MIRBNZSATINAZURE,Mirror
MIRCSAPSATIN+,Mirror
MIRGLD,Mirror
MIRGLDHC,Mirror
MIRGLDHCBGT,Mirror
MIRGLDHMC,Mirror
MIRGLDHMCBGT,Mirror
MIRGLDHMCS,Mirror
MIRGLDRSATIN+UV,Mirror
MIRGLDSATIN+,Mirror
MIRGLDSATIN+BGT,Mirror
MIRGLDSATIN+UV,Mirror
MIRGLDSATIN3,Mirror
MIRGLDSATINKLR,Mirror
MIRGRN,Mirror
MIRGRNHC,Mirror
MIRGRNHCBGT,Mirror
MIRGRNHMC,Mirror
MIRGRNHMCBGT,Mirror
MIRGRNHMCS,Mirror
MIRGRNRSATIN+UV,Mirror
MIRGRNSATIN+,Mirror
MIRGRNSATIN+UV,Mirror
MIRKBSAPDHMC,Mirror
MIRKBSAPLHMC,Mirror
MIRMGHCBGT,Mirror
MIRMGLD,Mirror
MIRMGLDHC,Mirror
MIRMGLDHCBGT,Mirror
MIRMGLDHMC,Mirror
MIRMGLDHMC+,Mirror
MIRMGLDHMCBGT,Mirror
MIRMGLDHMCS,Mirror
MIRMGLDSATIN+,Mirror
MIRMGLDSATIN+BGT,Mirror
MIRMGLDSATINKLR,Mirror
MIRMGTHMC,Mirror
MIRMGTHMCS,Mirror
MIRMGTSATIN+,Mirror
MIRMSIL,Mirror
MIRMTSILHC,Mirror
MIRMTSILHCBGT,Mirror
MIRMTSILHMC,Mirror
MIRMTSILHMCS,Mirror
MIRMTSILRSATIN+UV,Mirror
MIRMTSILSATIN+,Mirror
MIRMTSILSATIN+BGT,Mirror
MIRMTSILSATIN+UV,Mirror
MIRMTSILSATIN+UVBGT,Mirror
MIRPNK,Mirror
MIRPNKHC,Mirror
MIRPNKHCBGT,Mirror
MIRPNKHMC,Mirror
MIRPNKHMCBGT,Mirror
MIRPNKHMCS,Mirror
MIRPNKRSATIN+UV,Mirror
MIRPNKSATIN+,Mirror
MIRPNKSATIN+AZURE,Mirror
MIRPNKSATIN+BGT,Mirror
MIRPNKSATIN+UV,Mirror
MIRPNKSATIN3,Mirror
MIRPWKSATIN+,Mirror
MIRRE,Mirror
MIRREHC,Mirror
MIRREHCBGT,Mirror
MIRREHMC,Mirror
MIRREHMCBGT,Mirror
MIRREHMCS,Mirror
MIRRESATIN+,Mirror
MIRRESATIN+BGT,Mirror
MIRRESATIN+UV,Mirror
MIRRESATIN+UVBGT,Mirror
MIRRESATIN3,Mirror
MIRRESATINKLR,Mirror
MIRSAP,Mirror
MIRSAPHMC,Mirror
MIRSAPHMC+,Mirror
MIRSAPHMCS,Mirror
MIRSAPRSATIN+UV,Mirror
MIRSAPSATIN+,Mirror
MIRSAPSATIN+BGT,Mirror
MIRSAPSATIN+UV,Mirror
MIRSAPSATIN3,Mirror
MIRSAPSATINKLR,Mirror
MIRSAPTHC,Mirror
MIRSAPTHCBGT,Mirror
MIRSIL,Mirror
MIRSILHC,Mirror
MIRSILHCBGT,Mirror
MIRSILHMC,Mirror
MIRSILHMCBGT,Mirror
MIRSILHMCS,Mirror
MIRSILSATIN+,Mirror
MIRSILSATIN+BGT,Mirror
MIRSILSATIN+UV,Mirror
MIRSILSATIN+UVBGT,Mirror
MIRSILSATIN3,Mirror
MIRSKYBLUSATIN+,Mirror
MIRVOL,Mirror
MIRVOLHC,Mirror
MIRVOLHCBGT,Mirror
MIRVOLHMC,Mirror
MIRVOLHMC+,Mirror
MIRVOLHMCS,Mirror
MIRVOLSATIN+,Mirror
MIRVOLSATIN+BGT,Mirror
MIRVOLSATIN+UV,Mirror
MIRVOLSATIN3,Mirror
MIRYELHC,Mirror
MIRYELHMC,Mirror
MIRYELSATIN+,Mirror
MIRYELSATIN3,Mirror
MIRYLSILHC,Mirror
MIRYLSILHCBGT,Mirror
MIRYLSILHMC,Mirror
MIRYLSILHMS,Mirror
MIRYLSILSATIN+,Mirror
MIRYLSILSATIN+UV,Mirror
RHMC,HMC
RHMC+,HMC
RSATIN+,Satin+
RSATIN+BGTUV,Satin+
RSATIN+UV,Satin+
RSATINAKTIV,Satin+
RSATININT+,Satin+
RSATININT+BGTUV,Satin+
RSATININT+UV,Satin+
SATIN+,Satin+
SATIN+AZURE,Satin+
SATIN+BGT,Satin+
SATIN+BGTBL,Satin+
SATIN+BL,Satin+
SATIN+BLUV,Satin+
SATIN+UV,Satin+
SATIN3,Satin+
SATIN3BGT,Satin+
SATINAFAR,Satin+
SATINAKTIV,Satin+
SATINAKTIVBGT,Satin+
SATINAZURED,Satin+
SATINDGBLUE,Satin+
SATINEMRLD,Satin+
SATININT+,Satin+
SATININT+AZURE,Satin+
SATININT+BGT,Satin+
SATININT+UV,Satin+
SATININT3,Satin+
SATININTAKTIV,Satin+
SATINKLRUV,Satin+
SATINKLRUVBGT,Satin+
SATINKLRUVD,Satin+
SATINLILAC,Satin+
SATINP,Satin+
SATINPBL,Satin+
SATINPUV,Satin+
SATINRUBY,Satin+
SOLTR,Crizal
SOLTRPR,Crizal
SUNHMC,HMC
SUNHMCINT,HMC
SWMSUNINT,HMC
TCAF,HC
TITUS,HC
TMC,HMC
TMCS,HMC
UV,HMC
UV+HC,HC
UV+HCAF,HMC
UV+HMC,HMC
UV+HMC+,HMC
UV+HMCINT,HMC
UV+MIRBLUHMC,Mirror
UV+MIRSAPHMC,Mirror
UV+MIRSILHMC,Mirror
UV+SATIN+,Satin+
UV+SATIN+BLUV,Satin+
UV+SATIN+UV,Satin+
UV+SATIN3,Satin+
UV+SATINAKTIV,Satin+
UV+SATININT+UV,Satin+
UV+SATINKLRUV,Satin+
UVEHMC+,HMC
UVX,HMC
UVX+HC,HC
UVX+HMC,HMC
UVX+HMCBGT,HMC
UVX+HMCINT,HMC
UVX+HMCINTBGT,HMC
UVX+SATIN+,Satin+
UVX+SATIN+BGT,Satin+
UVX+SATININT+,Satin+
VSATINAFAR,Satin+
VSATINDGBLUE,Satin+
